自行車路線類別,名稱,路線說明,路線長度(公里),路線規劃,可串聯自行車道,鄰近熱門景點,圖片連結 
親子型,東螺溪遊憩廊道,東螺溪是濁水溪的三大支流之一，俗稱「舊濁水溪」，以溪湖糖廠為起點，沿著糖廠小火車鐵道延著舊濁水溪溪畔往東到田尾公路花園，沿路可以看到永靖、田尾種滿花卉的田園，也可以欣賞到傳統農家三合院。往西則沿東螺溪至埔鹽環鎮自行車道，沿途所見則以田園風光為主。14公里的自行車道，途中還能至東螺溪休閒農場、溪湖糖廠，體驗產業文化，也能至北斗河濱公園稍做小歇，欣賞堤岸美景。東螺溪休閒農場：佔地三公頃的東螺溪休閒農場，整個園區猶如卅、四十年的農村景象。農場主體以舊鴨舍改建，裝飾簡單樸素，讓遊客在農村體驗中，獲得舒適、愉快及滿足的田園樂趣，保留以往農村的風情。,14,溪湖糖廠→濁水溪溪畔→田尾公路花園,田尾自行車道、埔鹽青春活力自行車道、溪湖二林自行車道、埤頭自行車道,東螺溪休閒農場、北斗河濱公園、溪湖糖廠、奠安宮、北斗河濱公園 ,https://email.chcg.gov.tw/df/q23mh8f4p7x3v5ajmn3j5eu693tymg
親子型,大村自行車道,大村環鎮自行車道位於大村市區北側，主要環繞範圍其實以農田為主，所行路線亦以圳路為主，自行車道穿越著水稻田與葡萄園，具備特殊體驗的景致，一覽田園風光。鄰近車道附近，也有大村觀光葡萄園與三春老樹林休閒農場，提供另種觀光體驗。三春老樹:位於花壇鄉大村鄉交界附近的三春村內，而三春老樹就是以三春村而命名的。 三春老樹是一株茄冬樹擁有三百年樹齡的珍貴老樹。據說這株老樹有一段傳奇的故事，這株老茄冬樹曾為許多窮苦人家帶來財富，因而改善窮苦生活，所以附近的居民對於這棵老樹，都帶有十分敬畏的情感。且每一棵茄苳樹皆具先天的性別區分，且都是雙雙對對的生長著，就像對夫妻一樣，但因此地這株屬於母的茄苳樹，而另一半就在附近守護、彼此相望著，所以來此祈求姻緣，特別靈驗，甚至也可見情侶同行誠心誠意祈求愛情專一，當地人亦稱姻緣樹。,1.6,大村鄉大橋村,無,三春老樹、大村觀光葡萄園,https://email.chcg.gov.tw/df/t4sblqz583o2abvddlmrhsr6s1jou9
親子型,北斗河濱公園自行車道,北斗河濱公園：北斗河濱公園是位於臺灣彰化縣北斗鎮的一座公園，為清朝時期的古渡船頭，舊時期主要為貿易使用，經政整治修訂，成立成為河濱公園。每年十至十一月美人樹盛開之景，吸引眾多居民與遊客前來活動。奠安宮：彰化北斗鎮東螺開基祖廟奠安宮供奉的海神媽祖又稱「東螺開基媽」，與彰化南瑤宮、鹿港天后宮齊名並列為彰化縣地區三大媽祖廟，前身為東螺街天后宮。,7.6,臺1縣舊濁水溪沿線→斗溪畔一號橋附近的舊濁水溪沿線→斗功路,東螺休憩廊道、北斗河濱公園自行車道、埤頭自行車道,北斗河濱公園、五分子鐵軌、奠安宮,https://email.chcg.gov.tw/df/qr7vdjxurddydue9q4ep7dbq19cnxl
親子型,竹塘大樹公自行車道,田頭大榕公是彰化竹塘鄉田頭村居民重要文化資產，400多年的生長形成獨木成林的特殊景觀，居民自發改善周邊環境興建公園、建置自行車道，成為南彰化很特別的一條自車道。,0.5,田頭堤防沿線,無,九龍大榕宮、西螺大橋,無
親子型,埔心鄉休閒自行車道,自行車道台糖為運輸甘蔗製糖，在縣內闢建了多條五分車的鐵道， 而經過埔心的路段，已經荒廢多年沒有使用，為發展地方產業文化，公所沿著鐵道開闢了一條「埔心鄉休閒自行車道」。埔心鄉休閒自行車道，全長4020公尺，沿途路旁種植小葉欖仁樹、波斯菊花海、向日葵花海、葡萄園、楓樹並構築油畫彩繪牆，有蜜紅葡萄、寶島蜜拔、金蜜芒果彩繪三蜜農特產等，是一條兼具運動、休閒、旅遊、體驗功能之自行車道。自行車道沿線可到清武舉人故居、寶島歌王黃三元故居、路葡萄隧道、葡萄迷宮、百年天主堂參觀，再到農會、鄉立圖書館、鄉公所走走，埔心街上吃吃小吃，感受當地的人文風光。自行車道規劃有芭樂伯休憩區、張家古厝休憩區等，騎一趟埔心鄉自行車道，也等於看過一遍埔心鄉產業與人文發展的濃縮史寶島歌王黃三元故居：其故居是其父黃義先生在民國29年時花費巨資建築的一外觀宏偉日式洋房，黃三元在軍中退伍時，開始展現他美妙的歌喉，經常在西餐廳駐唱，與「文夏」、「張琪」同台演出，嶄露頭角，當我們一走進他故居，彷彿可在耳邊迴盪著他美妙的歌聲。路葡萄酒莊：取名為「路」葡萄，是園主為感念父親黃路先生養育之恩特別取名為果園永遠品牌至於葡萄隧道的架設原因只是為了遮蔽太陽炎熱，想不到竟成為「路葡萄觀光果園」的一大特色。,4.1,芎蕉村→埔心市區舊糖鐵路線,員林大道自行車道,寶島歌王黃三元故居、 路葡萄酒莊、忠義廟,https://email.chcg.gov.tw/df/hth8x8ggzt6rpla5cqsxvo9oyzyste
親子型,溪湖二林自行車道,溪湖二林自行車道，沿線利用台糖舊有五分車鐵道和既有產業道路建造，是一條兼具健康親子與田園樂活的健康休閒路線。二林鎮、東螺溪遊憩廊道、溪湖糖廠、田尾公路花園都串接起來，自行車騎士可以從田尾公路花園出發騎至東螺溪、沿東螺溪經跨越台十九線自行車專用橋後，自行選擇往北至溪湖糖廠或往南到二林中科園區、埤頭及二林，沿線有田尾公路花園花田景緻、東螺溪河岸景觀、舊有台糖五分車的鐵道風情以及彰化平原富饒的田野風光，騎乘其間可以輕鬆體驗彰化的田園風光與細緻景色之美，歡渡健康親子的悠活享樂時光。溪湖糖廠：位於台灣彰化縣溪湖鎮彰水路二段762號，為1950年代後彰化縣境內唯一仍正常運作的糖廠，已於2002年停止製糖業務，現為觀光型園區，為彰化縣著名旅遊景點之一。溪湖軍機公園：為停放軍方所報廢的古老飛機的軍事主題公園，廣場內展示有C-119G運輸機、F-5E中正號戰術戰鬥機、F-100F超級軍刀式戰轟機還有RF-104G星式戰鬥偵察機，讓人親眼目睹曾叱吒遨翔的空中英雄。,10.26,舊濁水溪→二林市區舊糖鐵路線,東螺溪遊憩廊道、二林自行車道、埤頭自行車道,台糖五分車鐵道、風田尾公路花園、東螺溪河岸景觀,https://email.chcg.gov.tw/df/j5cwvxll6swg974emgqasn5tmqwxu9
親子型,二林自行車道,二林自行車道是由廢棄糖鐵改成自行車道，沿著自行車道可以欣賞二林的田園風光，而道路兩旁美人樹綿延近幾公里，也是一條美人樹步道，每到花開季節時百化盛開美不勝收。二林綠色隧道：位在彰化縣二林鎮二溪路二林至十三戶約1.2公里路段的木麻黃綠色隧道，已經擁有50年以上的歷史，道路上兩旁的木麻黃，耐旱、耐鹽、抗風，是海口典型的防風林，但位於二林的綠色隧道則是國內道路少見的綠色景觀。仁和宮：少見的唐山式廟宇，彰化二林的仁和宮縣定古蹟為古老的媽祖廟之一，相傳於乾隆初年創建，乾隆四十七年西元1782年曾經修建，廟體連接街屋，坐北朝南。歷經數次改建後，於嘉慶二十年西元1815年始具今日之規模，民國十四年、五十年亦曾整修，而為現今之廟貌。內行人看門道主祀媽祖，廟宇為三殿兩廊式之格局，正殿與後殿皆屬單脊硬山式建築，屋頂使用歇山式，兩側屋簷以斗拱使山牆伸出支撐，巧妙而秀麗。唐山廟宇宏偉、精簡，而仁和宮雖經多次整修，至今還保留閩南廟宇的精實、莊嚴，是全省少見保留唐山廟宇的特色建築。雕工精美，古樸雅致。三川殿的石雕、木雕技法細緻，大門兩旁之窗飾雕刻精巧，是仁和宮裝修最精美之處。石獅及柱珠古樸而雅致，全殿古色古香，令人發思古幽情。其內藏文物頗為豐富，有嘉慶二十年之對聯及重修之石碑二方，極具歷史參考價值。,5.2,二林綠色隧道→仁和宮→香田國小5.2公里,溪湖二林自行車道,二林綠色隧道、仁和宮、台灣酒窖、鹿世界觀光牧場、醒靈宮,https://email.chcg.gov.tw/df/km3eeefnamc81kaz4c3m6hgc4iifhr
親子型,洋厝溪自行車道,洋厝溪自行車道，全長8.8公里，從彰化市經過秀水鄉後至鹿港鎮，車道旁種滿了台灣欒樹，台灣欒樹又稱四色樹，隨著四季變換展現綠、黃、紅、褐的繽紛顏色，有著美麗顏色和獨特葉子的它，到了冬天結滿紅褐色的果實，好似樹上掛滿彩色燈泡！一路沿著洋仔厝溪的自行車道騎，不但可以欣賞沿途鄉村美景大飽眼福，平緩的自行車道騎來也毫不費力，幸運的話還能看到溪中紅冠水雞、小白鷺全家共同覓食的歡樂景象，一覽豐富自然生態，是一個可以連結彰化到鹿港間景點的私房路線。馬興陳宅:又稱為益源古厝、益源大厝，台灣三大古厝之一，和板橋林家、霧峰林家並稱，馬興陳宅創建於清道光26年（1846年），大厝佔地3000餘坪，兩旁約6000坪，是陳姓渡臺開基祖文德公大房榮華公所建，過去因年久失修斷垣殘瓦，後經大幅整修已恢復大致外觀，然有牆面彩繪工程尚未完成。秀水綠色隧道:位在彰化彰鹿路進入馬興陳宅時可看見兩旁的大葉欖仁築成的綠色隧道，這些大葉欖仁20年前鶴鳴社區的民眾種下的，鄉長梁禎祥強調無論如何也要原地保留這條綠色隧道及這些大葉欖仁。,8.8,彰化市142縣道沿洋厝溪至臺17線,無,馬興陳宅、秀水綠色隧道、主恩牧場、雅溝社區,https://email.chcg.gov.tw/df/ln9s275e2ppplluxm2vjnj8zvc2gbv
親子型,社頭自行車道,社頭自行車道，起點在世芳宮林媽廟至清水岩寺，可與社頭有名的長青自行車道串聯，沿途多為水濱圳路。清水岩寺：清水岩寺起建至今已有兩百七十七年（建立於清朝雍正六年，公元一七二八年），曾在乾隆初年改建，至嘉慶四年才移至現在這個位置，是台灣最先供奉三寶佛的寺廟，與虎山岩、碧山岩合稱中部三大名岩，而清水岩寺又因地出泉水、風光明媚而有「清水春光」的美名，更是彰邑八景之一！清水岩寺是全台灣主祀觀音而屬於超鄉鎮性的6座區域廟「巖仔」之一，以前的祭祀範圍在武東、武西堡共72庄，範圍涵蓋社頭鄉、員林鎮、永靖鄉、田尾鄉、埔心鄉，與枋橋頭天門宮同，現在由鄰近的山湖村、清水村與埤斗村共祀。,4,清水岩路→忠義路→南勢港→復興路主要依循道路：清水岩路、忠義路、南勢港、復興路,長青自行車道,清水岩、世芳宮林媽廟,無
親子型,埤頭自行車道,埤頭自行車道，不僅為當地地區帶來便利性的交通，更增添生態及人文教育之環境營造，靈活運用道路周邊閒置空地改善維護，由彰化縣道181至溪底路，與舊鐵路和排水圳平行，活化舊糖鐵之歷史記憶空間。台糖舊鐵道綠色廊道：一條南北向已廢棄之台糖五分車鐵道穿越，向北可達溪湖糖廠，南可至溪州公園，而位於鐵道二側尚有提供虎尾糖廠大面積之甘蔗田與種有光臘樹、小葉欖仁和阿勃勒造林平地，讓埤頭鄉有了自然綠地珍貴資源。因此，彰化埤頭鄉公所向台中區處承租周厝崙段54-4號等35筆面積共達3公頃的土地，規劃一條綠色之自行車道，以展現休閒健康、綠意廊道與新產業文化的魅力。明道大學：明道學校財團法人明道大學，是臺灣的私立大學，前身為明道管理學院，位在彰化縣埤頭鄉。,5,文化路→明道大學→北斗交流道系統→臺糖鐵道支線→溪底路,溪湖二林自行車道、二林自行車道,台糖舊鐵道綠色廊道、明道大學,https://email.chcg.gov.tw/df/orvhjtjqqriudkmkmjv62ls2273583
親子型,大城自行車道,大城自行車道位在大城鄉西側與南側的海堤防，自行車道上有設置休憩亭及指示牌等設施，民眾可一邊騎自行車道一邊欣賞大城賓海夕陽、產業、海岸溼地等獨特風景。西港及公館沙崙鷺鷥區: 港沙崙地處大城鄉西港村近魚寮溪出海處。公館沙崙位於公館村永安宮旁。西港、公館沙崙林木密集，靠近海邊，吸引附近數種鳥類來此棲息。縣政府特別規劃為自然生態保護區。每當太陽漸漸升起時，一大群鳥離巢覓食或黃昏，一群一群的鳥兒回巢，在空中旋繞，尤其以成群的白鷺鷥最為壯觀。沿著沙崙小徑傾聽鳥鳴，同時觀賞夕陽西下，海天一色，讓人心曠神怡。興山公園:位於山腳村萬安宮處鄰濁水溪畔。園內樹林環繞，隆重莊嚴的萬安宮亦位於園中。兩側鐘鼓樓閣及拱橋上可供眺望公園全景及濁水溪風光。,15,九塊厝堤防沿線,無,永安宮、西港及公館沙崙鷺鷥區、興山公園,https://email.chcg.gov.tw/df/ejg77qgped7dwo1kxmzb33m8gdelhy
通勤型,員林大道自行車道,員林大道自行車道:位在員林市外環，環狀包圍員林市，並設有專用自行車道路，避免自行車與汽機車共道，降低交通事故的發生，全長約8.9公里，可串聯埔心鄉休閒自行車道，屬於通勤機能類型。興賢書院：林興賢書院原名「文昌祠」，經文建會評定為三級古蹟，流漣其中，令人發思古之幽情。文昌祠寺廟座落於綠椰插霄、環境優雅的員林公園內。廟宇十分古樸，雖然沒有一般道教廟觀的畫棟雕樑，但棟節宏偉莊嚴，創建於嘉慶十二年五月十九日，迄今已有一百七十年之歷史。廟內奉祀文昌帝君為主神，陪祀的是象形文字的創始者倉頡及諸位聖賢。每逢農曆二月三日，是文昌帝君誕辰紀念日，仍然遵循著到較正統禮俗，以俎豆行三獻禮的祭典，隆重慶祝。文昌祠雖非孔子廟，卻也是先賢賦詩賽文之所。,8.9,員林大道(環狀),埔心鄉休閒自行車道,興賢書院 ,https://email.chcg.gov.tw/df/r2rmfus2znqrb9cxvnhpmd41pd75wr
