類型,年度,店家名稱,產品名稱,電話,地址
十大伴手禮,2014,社頭鄉農會,芭樂鮮果禮盒,04-8735437,彰化縣社頭鄉社斗路一段360號
十大伴手禮,2014,花壇鄉農會,紀念版茉莉烏龍袋茶,04-7877-558,彰化縣花壇鄉花壇街273號
十大伴手禮,2014,富田食品廠股份有限公司,有顆梅在台灣茶梅禮盒,04-8310745,彰化縣員林鎮員水路一段389巷67號
十大伴手禮,2014,壽米屋企業有限公司,米屋馥米幸福寶箱,04-8965111,彰化縣二林鎮南光里儒林路2-3號
十大伴手禮,2014,線西鄉農會,黃金蕃薯麵線系列禮袋,04-7585048,彰化縣線西鄉中央路二段20號
十大伴手禮,2013,台明將企業股份有限公司,玻璃砧板,04-7811299,彰化縣鹿港鎮鹿工南四路30號
十大伴手禮,2013,象王宗教用品股份有限公司,三運香傳,04-8385611,彰化縣員林鎮成功東路293號
十大伴手禮,2013,二林酒廠股份有限公司,竺林水果酒禮盒,04-8958617,彰化縣二林鎮豐田里中和巷13-15號
十大伴手禮,2013,古早雞休閒農場,美春姐 古早味雞精,049-2524362,彰化縣芬園鄉舊社村彰南路451巷36號
十大伴手禮,2013,新建美興業股份有限公司,新建美-台灣油禮禮盒,04-8985111,彰化縣芳苑鄉仁愛村斗苑路157號
十大伴手禮,2013,彰化縣埔鹽鄉?子社區發展協會,皺臉の麵(糯米麵),04-8653124,彰化縣埔鹽鄉?子村彰水路2段215號
十大伴手禮,2013,彰農米糧商行,幸福 原味禮盒,04-8791333,彰化縣二水鄉光化村光文路102號
十大伴手禮,2013,榛紀食品有限公司(榛紀肉舖子),蜜汁豬肉乾-隨手包禮盒,04-8297763,彰化縣埔心鄉員鹿路一段366號
十大伴手禮,2013,臺陽生技有限公司,小資時刻-寶島花生好禮,04-7582281,彰化縣線西鄉和線路879號
十大伴手禮,2012,三和珍食品行(三和珍餅舖),雪藏綠豆糕,04-7774223,彰化縣鹿港鎮民族路221號
十大伴手禮,2012,芊品坊,米蛋糕,04-8384999,彰化縣員林鎮莒光路398號
十大伴手禮,2012,鹿港鎮農會,龍花吉祥-龍眼花蜂蜜,04-7772608,彰化縣鹿港鎮建國路7號
十大伴手禮,2012,德泰商行(柳媽媽手工蛋捲),柳媽媽手工蛋捲,04-8321587,彰化縣員林鎮員水路2段542號
十大伴手禮,2012,古早雞休閒農場,手工荔枝蜜荔枝香皂,049-2522215,彰化縣芬園鄉舊社村彰南路5段451巷36號
十大伴手禮,2012,亨將精密工業股份有限公司(台灣第一筷),好客小倆口環保餐具禮盒組,04-7258102,彰化市寶?路378號
十大伴手禮,2012,象王宗教用品股份有限公司,沉韻香賞,04-8385611,彰化縣員林鎮成功東路293號
十大伴手禮,2012,富雨洋傘有限公司,扇形車庫聚集好善緣,04-7690003,彰化縣秀水鄉金興村番花路183號
十大伴手禮,2012,廣源良實業有限公司,絲情話憶【菜瓜精華保濕組】禮盒,04-7638143,彰化縣秀水鄉彰水路一段731號
十大伴手禮,2011,緣親旺梨小鎮商行,手工土鳳梨酥,04-7699696,彰化縣秀水鄉花秀路99號
十大伴手禮,2011,蘇師傅手工麵線行,蘇師傅手工麵線禮盒,04-8815015,彰化縣溪湖鎮西溪里員鹿路2段42號
十大伴手禮,2011,國際引藻生物科技有限公司,40%引藻酒,0800-228-369,彰化縣芳苑鄉草湖村二溪路草二段589號1樓
十大伴手禮,2011,海露干貝醬專賣店,烏魚子干貝醬禮盒,0918-667859,彰化縣鹿港鎮民族路11號
十大伴手禮,2011,榛紀食品有限公司,鳳梨田100%純鳳梨酥,04-8280461,彰化縣埔心鄉員鹿路一段366號
十大伴手禮,2011,茶點世家食品股份有限公司(什倆漉餅行),福祿壽禧糕,04-7777688,彰化縣鹿港鎮親民路188號
十大伴手禮,2011,古早雞休閒農場,荔枝醋 ,049-2522215,彰化縣芬園鄉彰南路五段451巷36號
十大伴手禮,2011,蕈優生物科技有限公司,植物燕窩-黑木耳養生露  ,04-8521898,彰化縣埔心鄉埤腳村柳橋東路829號
十大伴手禮,2011,彰化市農會,彰化新三寶禮盒,04-7251171,彰化市辭修路119號
十大伴手禮,2010,魔菇部落休閒農場,杏鮑菇(丸+香腸)禮盒,04-8521969,彰化縣埔心鄉埤腳村柳橋東路829號
十大伴手禮,2010,銨麒企業有限公司,茉莉花果茶禮盒,04-7862241,彰化縣花壇鄉三春村彰員路一段439號
十大伴手禮,2010,李振輝食品行,扁食(食燕)與清丸(綜合包),04-8960550,彰化縣二林鎮照西路54號
十大伴手禮,2010,黑竹園雞腳凍專賣店,雞腳凍禮盒,04-8313929,彰化縣員林鎮員水路一段676巷12號
十大伴手禮,2010,壽米屋企業有限公司（二林廠）,米屋圓滿寶盒,04-8965111,彰化縣二林鎮南光里儒林路2-3號
十大伴手禮,2010,蘭輝酒莊（蘭輝農產行）,頂級冰釀葡萄醋禮盒,0800-209920,彰化縣二林鎮西斗里原厝路56號
十大伴手禮,2010,可可夢（湯師傅工坊）,藏心巧克力禮盒,04-8367477,彰化縣員林鎮中正路477號
十大伴手禮,2010,社頭鄉農會（社頭製茶工廠）,芭樂心葉茶精緻禮盒,04-8735437,彰化縣社頭鄉社斗路一段360號
十大伴手禮,2010,瑞爾美生物科技有限公司,臺灣原生芭樂芯茶禮盒,04-8521553,彰化市延和街48號
十大伴手禮,2009,際豐有限公司,大橋牌米好良緣禮盒,04-8965111,彰化縣二林鎮南光里儒林路2-3號
十大伴手禮,2009,路葡萄酒莊,四季葡萄酒禮盒,0939-657393,彰化縣埔心鄉二重村南昌南路136巷85號
十大伴手禮,2009,二鹿國際開發實業有限公司,二鹿養生美食經典禮盒,04-7751888,彰化縣鹿港鎮民生路80號
十大伴手禮,2009,鹿港吳敦厚燈舖,傳統燈籠,04-7776680,彰化縣鹿港鎮中山路310號
十大伴手禮,2009,再源油品興業有限公司,苦茶油、胡麻油,04-8751518,彰化縣田中鎮興工路553號
十大伴手禮,2009,順泰蜜餞食品股份有限公司,老漬號系列禮盒,04-8534399,彰化縣大村鄉美港村中山路一段141巷2號
十大伴手禮,2009,麥仕佳食品有限公司,鳳梨纖果酥,04-7518555,彰化市辭修路532巷20號
十大伴手禮,2009,梅香莊企業有限公司,梅日和多梅多?禮盒,04-8313233,彰化縣員林鎮崙雅里崙雅巷8-20號
十大伴手禮,2009,百豐酒莊股份有限公司,百豐經典頂級紅酒,04-8613639,彰化縣溪湖鎮員鹿路2段307號
